,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50
170000,12.5490196078,10.944741533,9.6078431373,8.4766214178,7.5070028011,6.6666666667,5.931372549,5.2825836217,4.7058823529,4.1898864809,3.7254901961,3.3053221289,2.9233511586,2.5745950554,2.2549019608,1.9607843137
175000,11.797235023,10.2890657729,9.0322580645,7.9688053882,7.0572745227,6.267281106,5.5760368664,4.9661154784,4.4239631336,3.9388794567,3.5023041475,3.1073074391,2.7482195224,2.420356642,2.1198156682,1.8433179724
180000,11.1111111111,9.6906565657,8.5069444444,7.5053418803,6.6468253968,5.9027777778,5.2517361111,4.6772875817,4.1666666667,3.7097953216,3.2986111111,2.9265873016,2.5883838384,2.279589372,1.9965277778,1.7361111111
185000,10.4832104832,9.1430273248,8.0262080262,7.0812070812,6.2712062712,5.5692055692,4.954954955,4.4129691189,3.9312039312,3.5001508686,3.1122031122,2.7612027612,2.442111533,2.1507673682,1.8837018837,1.638001638
190000,9.907120743,8.6405854208,7.5851393189,6.6920695404,5.9265811588,5.2631578947,4.6826625387,4.170460754,3.7151702786,3.3078051165,2.9411764706,2.6094648386,2.3079088095,2.0325750437,1.7801857585,1.5479876161
195000,9.3772893773,8.1784881785,7.1794871795,6.3341786419,5.6096284668,4.9816849817,4.4322344322,3.9474251239,3.5164835165,3.1309041835,2.7838827839,2.4699110413,2.1844821845,1.9238732282,1.684981685,1.4652014652
200000,8.8888888889,7.7525252525,6.8055555556,6.0042735043,5.3174603175,4.7222222222,4.2013888889,3.7418300654,3.3333333333,2.9678362573,2.6388888889,2.3412698413,2.0707070707,1.8236714976,1.5972222222,1.3888888889
205000,8.4377059987,7.3590219932,6.4601186552,5.6995081385,5.0475562671,4.4825313118,3.9881344759,3.5519019737,3.1641397495,2.8171946015,2.5049439684,2.2224314907,1.9656019656,1.7311054427,1.5161502966,1.3183915623
210000,8.0200501253,6.9947596263,6.1403508772,5.4173896279,4.7977085571,4.2606516291,3.790726817,3.376087277,3.007518797,2.6777469991,2.380952381,2.1124239169,1.8683071315,1.6454178926,1.4411027569,1.2531328321
215000,7.6326774001,6.6569089825,5.8437686345,5.1557268015,4.565976659,4.0548598688,3.6076326774,3.2130204497,2.862254025,2.5484103819,2.2659511032,2.0103927081,1.7780668943,1.5659433253,1.3714967203,1.1926058438
220000,7.2727272727,6.3429752066,5.5681818182,4.9125874126,4.3506493506,3.8636363636,3.4375,3.0614973262,2.7272727273,2.4282296651,2.1590909091,1.9155844156,1.694214876,1.4920948617,1.3068181818,1.1363636364
225000,6.9376693767,6.0507514166,5.3116531165,4.6862622472,4.1502129307,3.6856368564,3.2791327913,2.9204527339,2.6016260163,2.3163600057,2.0596205962,1.827332559,1.6161616162,1.423353364,1.2466124661,1.0840108401
230000,6.6252587992,5.7782796913,5.0724637681,4.47523491,3.9633244602,3.5196687371,3.1314699793,2.7889416636,2.4844720497,2.2120518688,1.966873706,1.7450458444,1.5433841521,1.3592582591,1.1904761905,1.0351966874
235000,6.3334982682,5.5238180919,4.8490846116,4.2781562821,3.7887891426,3.364670955,2.9935675408,2.6661233519,2.3750618506,2.114638402,1.8802572984,1.6681982046,1.4754172102,1.2993997806,1.1380504701,0.9896091044
